Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3.0,7.7,.391,0.4,2.3,.179,2.6,5.3,.484,.418,2.3,2.8,.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8,achiupr01
2,Steven Adams,C,29,MEM,20,20,26.8,3.5,5.6,.616,0.0,0.1,.000,3.5,5.6,.622,.616,0.9,3.0,.300,5.0,6.0,11.0,2.2,0.8,1.0,2.2,2.5,7.8,adamsst01
3,Bam Adebayo,C,25,MIA,20,20,34.8,8.1,15.2,.530,0.1,0.5,.111,8.0,14.8,.542,.531,4.5,5.2,.865,2.5,6.8,9.3,3.3,1.1,0.8,3.2,3.5,20.7,adebaba01
4,Ochai Agbaji,SG,22,UTA,7,0,9.7,1.1,2.7,.421,0.0,0.9,.000,1.1,1.9,.615,.421,0.6,1.0,.571,0.6,0.9,1.4,0.1,0.0,0.0,0.0,1.0,2.9,agbajoc01
5,Santi Aldama,PF,22,MEM,20,15,25.4,3.5,7.9,.446,1.2,3.7,.329,2.3,4.2,.548,.522,1.1,1.6,.688,1.7,4.0,5.7,1.1,0.9,0.9,0.6,2.7,9.3,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,14,0,11.1,1.6,3.9,.400,0.6,1.9,.333,0.9,2.0,.464,.482,0.6,0.6,.889,0.2,0.8,1.0,1.4,0.6,0.3,0.8,1.5,4.4,alexani01
7,Grayson Allen,SG,27,MIL,18,16,27.1,3.4,7.4,.455,2.1,4.7,.440,1.3,2.8,.480,.593,2.4,2.6,.915,0.9,2.4,3.3,2.7,0.9,0.3,1.3,1.6,11.2,allengr01
8,Jarrett Allen,C,24,CLE,17,17,32.0,5.5,9.4,.588,0.0,0.1,.000,5.5,9.3,.595,.588,2.4,3.1,.788,2.9,7.8,10.8,1.3,0.5,1.2,1.7,2.2,13.5,allenja01
9,Jose Alvarado,PG,24,NOP,21,6,20.8,3.2,7.1,.456,1.3,3.6,.355,2.0,3.5,.562,.547,0.6,0.8,.813,0.4,2.0,2.4,3.3,1.1,0.2,1.5,2.1,8.4,alvarjo01
10,Kyle Anderson,PF,29,MIN,17,3,21.6,2.4,4.8,.488,0.5,1.2,.429,1.8,3.6,.508,.543,1.2,1.5,.808,0.7,3.2,3.9,2.8,0.9,0.8,1.2,1.4,6.5,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,17,17,32.8,11.5,21.5,.533,0.8,3.3,.232,10.7,18.2,.587,.551,7.6,12.5,.608,2.1,9.4,11.5,5.5,0.9,1.0,3.7,3.5,31.3,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,10,0,2.5,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,.000,0.0,0.0,,0.2,0.6,0.8,0.2,0.0,0.1,0.2,0.2,0.0,antetth01
13,Cole Anthony,PG,22,ORL,5,3,29.2,5.0,12.0,.417,1.4,4.2,.333,3.6,7.8,.462,.475,3.2,4.0,.800,0.6,4.0,4.6,3.8,0.8,0.6,2.0,4.0,14.6,anthoco01
14,OG Anunoby,SF,25,TOR,21,21,36.3,7.0,15.0,.471,1.7,4.8,.350,5.4,10.2,.528,.527,2.9,3.4,.847,1.4,4.6,6.0,2.2,2.3,1.0,2.7,3.1,18.7,anunoog01
15,Ryan Arcidiacono,PG,28,NYK,6,0,2.7,0.0,0.5,.000,0.0,0.3,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.0,arcidry01
